#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs23_food_beta/MCTs23_food_pcoa.txt	MCTs23_tax_beta/MCTs23_tax_pcoa.txt	3	0.102	102	0.728
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs24_food_beta/MCTs24_food_pcoa.txt	MCTs24_tax_beta/MCTs24_tax_pcoa.txt	3	0.082	82	0.671
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs25_food_beta/MCTs25_food_pcoa.txt	MCTs25_tax_beta/MCTs25_tax_pcoa.txt	3	0.691	690	0.844
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs26_food_beta/MCTs26_food_pcoa.txt	MCTs26_tax_beta/MCTs26_tax_pcoa.txt	3	0.181	181	0.752
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs27_food_beta/MCTs27_food_pcoa.txt	MCTs27_tax_beta/MCTs27_tax_pcoa.txt	3	0.103	103	0.607
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs28_food_beta/MCTs28_food_pcoa.txt	MCTs28_tax_beta/MCTs28_tax_pcoa.txt	3	0.121	121	0.530
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs29_food_beta/MCTs29_food_pcoa.txt	MCTs29_tax_beta/MCTs29_tax_pcoa.txt	3	0.638	637	0.558
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs31_food_beta/MCTs31_food_pcoa.txt	MCTs31_tax_beta/MCTs31_tax_pcoa.txt	3	0.922	921	0.907
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs32_food_beta/MCTs32_food_pcoa.txt	MCTs32_tax_beta/MCTs32_tax_pcoa.txt	3	0.002	2	0.473
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs33_food_beta/MCTs33_food_pcoa.txt	MCTs33_tax_beta/MCTs33_tax_pcoa.txt	3	0.068	68	0.710
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs34_food_beta/MCTs34_food_pcoa.txt	MCTs34_tax_beta/MCTs34_tax_pcoa.txt	3	0.194	194	0.635
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs35_food_beta/MCTs35_food_pcoa.txt	MCTs35_tax_beta/MCTs35_tax_pcoa.txt	3	0.012	12	0.366
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs36_food_beta/MCTs36_food_pcoa.txt	MCTs36_tax_beta/MCTs36_tax_pcoa.txt	3	0.057	57	0.686
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs37_food_beta/MCTs37_food_pcoa.txt	MCTs37_tax_beta/MCTs37_tax_pcoa.txt	3	0.455	455	0.786
